task_id|component|description|task_state
0|Component2|notepad.exe|done
1|Component1|calc.exe|done
2|Component2|notepad.exe|done
3|Component3|explorer.exe|done
4|Component2|notepad.exe|done
5|Component1|calc.exe|done
6|Component3|explorer.exe|done
7|Component3|explorer.exe|done
8|Component2|notepad.exe|done
9|Component1|calc.exe|done
10|Component1|calc.exe|done
11|Component1|calc.exe|done
12|Component3|explorer.exe|done
13|Component2|notepad.exe|done
14|Component2|notepad.exe|done
15|Component2|notepad.exe|done
16|Component1|calc.exe|done
17|Component1|calc.exe|done
18|Component3|explorer.exe|done
19|Component2|notepad.exe|done
20|Component3|explorer.exe|done
21|Component3|explorer.exe|done
22|Component3|explorer.exe|done
23|Component2|notepad.exe|done
24|Component1|calc.exe|done
25|Component2|notepad.exe|done
26|Component2|notepad.exe|done
27|Component3|explorer.exe|done
28|Component1|calc.exe|done
29|Component2|notepad.exe|done
30|Component1|calc.exe|done
31|Component2|notepad.exe|done
32|Component1|calc.exe|done
33|Component1|calc.exe|done
34|Component3|explorer.exe|done
